lesion_type,metric,mean,ci_lower,ci_upper
MA,Dice,0,0,0
MA,IoU,0,0,0
MA,Precision,0,0,0
MA,Recall,0,0,0
HE,Dice,0.0330179295188267,0.0189579501031806,0.0487312162541835
HE,IoU,0.0176520948508123,0.00987082856509854,0.0265500352103608
HE,Precision,0.213891572797517,0.12591824450201,0.308913104295048
HE,Recall,0.0195233027074235,0.0113028944274742,0.0293631417738749
EX,Dice,0.0105504504817268,0.00363684461297615,0.0190585153542637
EX,IoU,0.00553170500293928,0.00185095265489216,0.0100730332847672
EX,Precision,0.14368849198488,0.0546327347531271,0.23665658283891
EX,Recall,0.00554579920583781,0.00181621575651612,0.0101373915757398
