image_id,lesion_type,dice,iou,precision,recall,specificity,image_level_tp,image_level_fp,image_level_fn,image_level_tn,expert_pixels,detector_pixels
IDRiD_01,MA,0,0,0,0,1,0,0,1,0,6941,0
IDRiD_02,MA,0,0,0,0,1,0,0,1,0,9446,0
IDRiD_03,MA,0,0,0,0,1,0,0,1,0,11288,0
IDRiD_04,MA,0,0,0,0,1,0,0,1,0,804,0
IDRiD_05,MA,0,0,0,0,1,0,0,1,0,3994,0
IDRiD_06,MA,0,0,0,0,1,0,0,1,0,9923,0
IDRiD_07,MA,0,0,0,0,1,0,0,1,0,12623,0
IDRiD_08,MA,0,0,0,0,1,0,0,1,0,4188,0
IDRiD_09,MA,0,0,0,0,1,0,0,1,0,35141,0
IDRiD_10,MA,0,0,0,0,1,0,0,1,0,33484,0
IDRiD_11,MA,0,0,0,0,1,0,0,1,0,21345,0
IDRiD_12,MA,0,0,0,0,1,0,0,1,0,3952,0
IDRiD_13,MA,0,0,0,0,1,0,0,1,0,34267,0
IDRiD_14,MA,0,0,0,0,1,0,0,1,0,25362,0
IDRiD_15,MA,0,0,0,0,1,0,0,1,0,2042,0
IDRiD_16,MA,0,0,0,0,1,0,0,1,0,3872,0
IDRiD_17,MA,0,0,0,0,1,0,0,1,0,14207,0
IDRiD_18,MA,0,0,0,0,1,0,0,1,0,24706,0
IDRiD_19,MA,0,0,0,0,1,0,0,1,0,6092,0
IDRiD_20,MA,0,0,0,0,1,0,0,1,0,26027,0
IDRiD_21,MA,0,0,0,0,1,0,0,1,0,21573,0
IDRiD_22,MA,0,0,0,0,1,0,0,1,0,10367,0
IDRiD_23,MA,0,0,0,0,1,0,0,1,0,4531,0
IDRiD_24,MA,0,0,0,0,1,0,0,1,0,1354,0
IDRiD_25,MA,0,0,0,0,1,0,0,1,0,23423,0
IDRiD_26,MA,0,0,0,0,1,0,0,1,0,19627,0
IDRiD_27,MA,0,0,0,0,1,0,0,1,0,25746,0
IDRiD_28,MA,0,0,0,0,1,0,0,1,0,4805,0
IDRiD_29,MA,0,0,0,0,1,0,0,1,0,4525,0
IDRiD_30,MA,0,0,0,0,1,0,0,1,0,7308,0
IDRiD_31,MA,0,0,0,0,1,0,0,1,0,8156,0
IDRiD_32,MA,0,0,0,0,1,0,0,1,0,6068,0
IDRiD_33,MA,0,0,0,0,1,0,0,1,0,36212,0
IDRiD_34,MA,0,0,0,0,1,0,0,1,0,12563,0
IDRiD_35,MA,0,0,0,0,1,0,0,1,0,13997,0
IDRiD_36,MA,0,0,0,0,1,0,0,1,0,9857,0
IDRiD_37,MA,0,0,0,0,1,0,0,1,0,6464,0
IDRiD_38,MA,0,0,0,0,1,0,0,1,0,9359,0
IDRiD_39,MA,0,0,0,0,1,0,0,1,0,38066,0
IDRiD_40,MA,0,0,0,0,1,0,0,1,0,6592,0
IDRiD_41,MA,0,0,0,0,1,0,0,1,0,5486,0
IDRiD_42,MA,0,0,0,0,1,0,0,1,0,2522,0
IDRiD_43,MA,0,0,0,0,1,0,0,1,0,914,0
IDRiD_44,MA,0,0,0,0,1,0,0,1,0,1932,0
IDRiD_45,MA,0,0,0,0,1,0,0,1,0,2548,0
IDRiD_46,MA,0,0,0,0,1,0,0,1,0,11628,0
IDRiD_47,MA,0,0,0,0,1,0,0,1,0,3986,0
IDRiD_48,MA,0,0,0,0,1,0,0,1,0,22353,0
IDRiD_49,MA,0,0,0,0,1,0,0,1,0,16520,0
IDRiD_50,MA,0,0,0,0,1,0,0,1,0,5202,0
IDRiD_51,MA,0,0,0,0,1,0,0,1,0,14362,0
IDRiD_52,MA,0,0,0,0,1,0,0,1,0,6671,0
IDRiD_53,MA,0,0,0,0,1,0,0,1,0,26531,0
IDRiD_54,MA,0,0,0,0,1,0,0,1,0,24011,0
IDRiD_01,HE,0.0781879194630872,0.0406844770385891,0.115156507413509,0.0591871295512278,0.998676745291084,1,0,0,0,35430,18210
IDRiD_02,HE,0.00196926539367725,0.000985603153930093,0.00141707576294347,0.00322654989628947,0.996764048614548,1,0,0,0,17356,39518
IDRiD_03,HE,0.0329479116558879,0.0167498928224234,0.479764787270841,0.0170597460102703,0.999750365550977,1,0,0,0,162605,5782
IDRiD_04,HE,0.0697610189592709,0.0361411305255361,0.989400921658986,0.0361551285721503,0.999998107438417,1,0,0,0,59383,2170
IDRiD_05,HE,0,0,0,0,0.999535418271887,1,0,0,0,9850,5669
IDRiD_06,HE,0,0,0,0,0.999325084844425,1,0,0,0,25507,8225
IDRiD_07,HE,0,0,0,0,0.998386735666762,1,0,0,0,31951,19650
IDRiD_08,HE,0.232521008403361,0.131555175200875,0.532268923727998,0.148751444775959,0.999600575637611,1,0,0,0,37203,10397
IDRiD_09,HE,0.102475599886897,0.0540048917846793,0.296691508581752,0.0619335525462881,0.998972819756955,1,0,0,0,84849,17712
IDRiD_10,HE,0.0408765208470256,0.0208646985664725,0.0794194593247789,0.0275205594767856,0.997561133789774,1,0,0,0,92658,32108
IDRiD_11,HE,0,0,0,0,0.999519391626473,1,0,0,0,56797,5842
IDRiD_12,HE,0,0,0,0,1,0,0,1,0,26843,0
