lesion_type,image_id,dice,iou,precision,recall,expert_pixels,detector_pixels
MA,IDRiD_01,0,0,0,0,6941,0
MA,IDRiD_02,0,0,0,0,9446,0
MA,IDRiD_03,0,0,0,0,11288,0
MA,IDRiD_04,0,0,0,0,804,0
MA,IDRiD_05,0,0,0,0,3994,0
HE,IDRiD_05,0,0,0,0,9850,5669
HE,IDRiD_06,0,0,0,0,25507,8225
HE,IDRiD_07,0,0,0,0,31951,19650
HE,IDRiD_11,0,0,0,0,56797,5842
HE,IDRiD_12,0,0,0,0,26843,0
EX,IDRiD_01,0,0,0,0,113286,0
EX,IDRiD_03,0,0,0,0,301586,0
EX,IDRiD_04,0,0,0,0,5557,0
EX,IDRiD_05,0,0,0,0,8286,0
EX,IDRiD_06,0,0,0,0,59053,0
