image_id,lesion_type,fundus_size,mask_size,mask_dtype,mask_unique_values,size_match,mask_is_binary
IDRiD_01,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_01,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_01,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_02,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_02,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_02,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_03,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_03,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_03,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_04,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_04,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_04,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_05,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_05,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_05,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_06,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_06,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_06,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_07,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_07,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_07,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_08,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_08,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_08,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_09,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_09,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_09,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_10,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_10,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_10,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_11,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_11,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_11,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_12,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_12,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_12,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_13,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_13,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_13,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_14,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_14,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_14,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_15,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_15,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_15,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_16,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_16,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_16,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_17,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_17,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_17,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_18,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_18,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_18,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_19,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_19,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_19,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_20,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_20,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_20,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_21,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_21,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_21,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_22,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_22,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_22,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_23,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_23,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_23,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_24,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_24,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_24,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_25,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_25,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_25,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_26,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_26,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_26,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_27,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_27,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_27,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_28,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_28,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_28,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_29,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_29,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_29,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_30,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_30,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_30,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_31,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_31,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_31,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_32,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_32,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_32,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_33,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_33,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_33,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_34,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_34,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_34,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_35,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_35,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_35,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_36,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_36,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_36,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_37,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_37,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_37,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_38,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_38,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_38,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_39,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_39,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_39,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_40,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_40,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_40,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_41,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_41,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_41,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_42,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_42,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_42,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_43,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_43,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_44,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_44,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_44,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_45,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_45,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_45,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_46,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_46,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_46,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_47,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_47,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_47,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_48,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_48,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_48,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_49,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_49,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_49,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_50,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_50,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_50,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_51,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_51,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_51,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_52,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_52,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_52,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_53,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_53,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_53,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_54,MA,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_54,HE,2848x4288x3,2848x4288x1,logical,[false true],1,1
IDRiD_54,EX,2848x4288x3,2848x4288x1,logical,[false true],1,1
