image_id,lesion_type,image_size,dice,iou,precision,recall,specificity,image_level_tp,image_level_fp,image_level_fn,expert_pixels,detector_pixels
007-1774-100,MA,2592x1728,0,0,0,0,1,0,0,1,268,0
007-1782-100,MA,2592x1728,NaN,0,0,0,1,0,0,0,0,0
007-1811-100,MA,1956x1934,0,0,0,0,1,0,0,1,241,0
007-1819-100,MA,1956x1934,NaN,0,0,0,1,0,0,0,0,0
007-1824-100,MA,1956x1934,0,0,0,0,1,0,0,1,106,0
007-1829-100,MA,1956x1934,0,0,0,0,1,0,0,1,195,0
007-1831-100,MA,1956x1934,0,0,0,0,1,0,0,1,193,0
007-1889-100,MA,2048x1536,NaN,0,0,0,1,0,0,0,0,0
007-1894-100,MA,2048x1536,0,0,0,0,1,0,0,1,425,0
007-1900-100,MA,2048x1536,0,0,0,0,1,0,0,1,179,0
007-1909-100,MA,2048x1536,0,0,0,0,1,0,0,1,311,0
007-1921-100,MA,2048x1536,0,0,0,0,1,0,0,1,559,0
007-1946-100,MA,2048x1536,0,0,0,0,1,0,0,1,305,0
007-1971-100,MA,3264x2448,0,0,0,0,1,0,0,1,380,0
007-1974-100,MA,3264x2448,0,0,0,0,1,0,0,1,196,0
007-1975-100,MA,3264x2448,0,0,0,0,1,0,0,1,532,0
007-1977-100,MA,3264x2448,0,0,0,0,1,0,0,1,252,0
007-2057-100,MA,2992x2000,0,0,0,0,1,0,0,1,140,0
007-2067-100,MA,2992x2000,0,0,0,0,1,0,0,1,64,0
007-2068-100,MA,2992x2000,0,0,0,0,1,0,0,1,464,0
007-2079-100,MA,2592x1728,NaN,0,0,0,1,0,0,0,0,0
007-2110-100,MA,2304x1728,0,0,0,0,1,0,0,1,61,0
007-2112-100,MA,2592x1728,0,0,0,0,1,0,0,1,196,0
007-2125-100,MA,2592x1728,0,0,0,0,1,0,0,1,332,0
007-2126-100,MA,2592x1728,0,0,0,0,1,0,0,1,160,0
007-2127-100,MA,2592x1728,0,0,0,0,1,0,0,1,192,0
007-2151-100,MA,2960x2935,0,0,0,0,1,0,0,1,508,0
007-2155-100,MA,2960x2935,0,0,0,0,1,0,0,1,2316,0
007-2160-100,MA,2960x2935,0,0,0,0,1,0,0,1,180,0
007-2167-100,MA,2960x2935,0,0,0,0,1,0,0,1,256,0
007-2181-100,MA,2960x2935,0,0,0,0,1,0,0,1,2348,0
007-2200-100,MA,2960x2935,0,0,0,0,1,0,0,1,656,0
007-2210-100,MA,2960x2935,NaN,0,0,0,1,0,0,0,0,0
007-2214-100,MA,2592x1728,0,0,0,0,1,0,0,1,408,0
007-2218-100,MA,2960x2935,0,0,0,0,1,0,0,1,236,0
007-2228-100,MA,2592x1728,0,0,0,0,1,0,0,1,408,0
007-2232-100,MA,2736x1824,0,0,0,0,1,0,0,1,2840,0
007-2234-100,MA,2736x1824,0,0,0,0,1,0,0,1,244,0
007-2243-100,MA,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2245-100,MA,2736x1824,0,0,0,0,1,0,0,1,264,0
007-2252-100,MA,2736x1824,0,0,0,0,1,0,0,1,184,0
007-2272-100,MA,2736x1824,0,0,0,0,1,0,0,1,44,0
007-2278-100,MA,2736x1824,0,0,0,0,1,0,0,1,8,0
007-2279-100,MA,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2280-100,MA,2736x1824,0,0,0,0,1,0,0,1,412,0
007-2287-100,MA,2736x1824,0,0,0,0,1,0,0,1,316,0
007-2288-100,MA,2736x1824,0,0,0,0,1,0,0,1,112,0
007-2295-100,MA,2736x1824,NaN,0,0,0,1,0,0,0,0,0
007-2297-100,MA,2736x1824,0,0,0,0,1,0,0,1,452,0
007-2300-100,MA,2736x1824,0,0,0,0,1,0,0,1,496,0
007-2326-100,MA,2048x1536,0,0,0,0,1,0,0,1,63,0
007-2330-100,MA,2048x1536,0,0,0,0,1,0,0,1,117,0
007-2335-100,MA,2048x1536,NaN,0,0,0,1,0,0,0,0,0
007-2339-100,MA,2048x1536,NaN,0,0,0,1,0,0,0,0,0
007-2343-100,MA,4496x3000,0,0,0,0,1,0,0,1,420,0
007-2345-100,MA,4496x3000,0,0,0,0,1,0,0,1,596,0
007-2365-100,MA,2592x1728,0,0,0,0,1,0,0,1,276,0
007-2366-100,MA,2592x1728,0,0,0,0,1,0,0,1,124,0
007-2369-100,MA,2592x1728,0,0,0,0,1,0,0,1,428,0
007-2371-100,MA,2592x1728,0,0,0,0,1,0,0,1,268,0
007-1774-100,HE,2592x1728,0,0,0,0,0.999036163623114,0,1,0,0,4317
007-1782-100,HE,2592x1728,0,0,0,0,1,0,0,1,576,0
007-1811-100,HE,1956x1934,NaN,0,0,0,1,0,0,0,0,0
007-1819-100,HE,1956x1934,0,0,0,0,0.999802520076465,1,0,0,241,747
007-1824-100,HE,1956x1934,NaN,0,0,0,1,0,0,0,0,0
007-1829-100,HE,1956x1934,0,0,0,0,1,0,0,1,510,0
007-1831-100,HE,1956x1934,0,0,0,0,0.999719527643313,0,1,0,0,1061
007-1889-100,HE,2048x1536,0,0,0,0,1,0,0,1,2192,0
007-1894-100,HE,2048x1536,0,0,0,0,0.998747825622559,0,1,0,0,3939
007-1900-100,HE,2048x1536,0,0,0,0,0.999760309855143,0,1,0,0,754
007-1909-100,HE,2048x1536,0,0,0,0,0.999540837335903,1,0,0,873,1444
007-1921-100,HE,2048x1536,0.642434488588335,0.473225404732254,0.654608096468562,0.630705394190871,0.999872476684063,1,0,0,1205,1161
007-1946-100,HE,2048x1536,0,0,0,0,1,0,0,1,1413,0
007-1971-100,HE,3264x2448,NaN,0,0,0,1,0,0,0,0,0
007-1974-100,HE,3264x2448,0,0,0,0,0.999392761598103,0,1,0,0,4852
007-1975-100,HE,3264x2448,NaN,0,0,0,1,0,0,0,0,0
007-1977-100,HE,3264x2448,NaN,0,0,0,1,0,0,0,0,0
007-2057-100,HE,2992x2000,0,0,0,0,1,0,0,1,2828,0
